DFT Energy (eV), CHGNet Energy (eV)
-5.401048874761905,-5.401048874761905
-5.400942547142857,-5.400942547142857
-5.400885034285714,-5.400885034285714
-5.400859556904762,-5.400859556904762
-5.400815828095238,-5.400815828095238
-5.400792807619048,-5.400792807619048
-5.400822932857143,-5.400822932857143
-5.4007992102380955,-5.4007992102380955
-5.400787224047619,-5.400787224047619
-5.400629729047619,-5.400629729047619
-5.4005222221428575,-5.4005222221428575
-5.400381048809524,-5.400381048809524
-5.400167365,-5.400167365
-5.399983593809524,-5.399983593809524
-5.399989279761905,-5.399989279761905
-5.400055230476191,-5.400055230476191
-5.400115749047619,-5.400115749047619
-5.400270771190476,-5.400270771190476
-5.400547115714286,-5.400547115714286
-5.400914179761905,-5.400914179761905
-5.401073034285714,-5.401073034285714
-5.401044688571429,-5.401044688571429
-5.400889803809524,-5.400889803809524
-5.400705517857143,-5.400705517857143
-5.400597237142857,-5.400597237142857
-5.4006316623809525,-5.4006316623809525
-5.4006526754761905,-5.4006526754761905
-5.4007428992857145,-5.4007428992857145
-5.400798439761904,-5.400798439761904
-5.400912522857142,-5.400912522857142
-5.401099529761905,-5.401099529761905
-5.401326984761904,-5.401326984761904
-5.401779766904762,-5.401779766904762
-5.402272253571429,-5.402272253571429
-5.402678733809524,-5.402678733809524
-5.402956426666667,-5.402956426666667
-5.403230157142857,-5.403230157142857
-5.403303959761905,-5.403303959761905
-5.403387840714286,-5.403387840714286
-5.403463306666667,-5.403463306666667
-5.403473438333333,-5.403473438333333
-5.403472224761905,-5.403472224761905
-5.403631616190476,-5.403631616190476
-5.403823607380953,-5.403823607380953
-5.403802326904762,-5.403802326904762
-5.403800177619048,-5.403800177619048
-5.403700545476191,-5.403700545476191
-5.403400834285715,-5.403400834285715
-5.4029847307142855,-5.4029847307142855
-5.402569042619048,-5.402569042619048
-5.402181265476191,-5.402181265476191
-5.401709225952381,-5.401709225952381
-5.4010555304761905,-5.4010555304761905
-5.400215216666667,-5.400215216666667
-5.399289226904762,-5.399289226904762
-5.39804326404762,-5.39804326404762
-5.396673128809524,-5.396673128809524
-5.395490059761904,-5.395490059761904
-5.3944682097619046,-5.3944682097619046
-5.393697144523809,-5.393697144523809
-5.39307853047619,-5.39307853047619
